YarareInitCube__FP3cEmffffffsUs 0x0019e418
dtx_proc_init_flag 0x0031a808
dtx_urpc_fn 0x0031b230
dtx_urpc_obj 0x0031b330
dtx_qd 0x0031b110
dtx_sd 0x0031b0c8
dtx_svrbuf 0x0031b130
dtx_create_rmt 0x001968c8
dtx_cd 0x0031b0a0
dtx_destroy_rmt 0x00196938
dtx_def_rcvcbf 0x00196988
dtx_def_sndcbf 0x001969a0
dtx_clnt 0x0031a820
DTX_ExecHndl 0x00196c40
dtx_init_cnt 0x0031a81c
dtx_svr 0x0031ac60
dtx_thid 0x0031b128
sceSifSetRpcQueue 0x0029f6c8
sceSifRegisterRpc 0x0029f760
sceSifRpcLoop 0x0029fa58
sceSifCallRpc 0x0029f488
sceSifBindRpc 0x0029f2a8
htci_build 0x0031b430
htg_ci_err_func 0x0031b434
htg_ci_err_obj 0x0031b438
htci_execserver_enter_flg 0x0031b43c
htci_vtbl 0x0031b440
htCiExecServer 0x00197280
htCiEntryErrFunc 0x001972f8
htCiGetFileSize 0x001973b0
htCiOpen 0x001975e8
htCiClose 0x00197760
htCiSeek 0x00197800
htCiTell 0x00197898
htCiReqRd 0x001978d0
htCiStopTr 0x00197a60
htCiGetStat 0x00197b58
htCiGetSctLen 0x00197b90
htCiGetNumTr 0x00197b98
htCiIsExistFile 0x00197310
htCiOptFn1 0x00197ca0
htci_wait 0x001970a0
htci_is_exec_hn 0x00197100
htg_ci_obj 0x0031b4a8
htci_zero_padding 0x00197158
htCiExecHndl 0x001971b8
htg_ci_fname 0x0031b718
htCiGetFileSize64 0x001973d8
htci_alloc 0x00197590
htci_free 0x001975c8
pl2enc_build 0x0031b848
PL2ENC_Lock 0x00197d68
PL2ENC_Unlock 0x00197d80
log10 0x002ab3c0
pow 0x002ab508
ACSSBADX_CreateHndl 0x00198c70
ACSSBADX_DestroyHndl 0x00198cf8
ACSSBADX_StartFname 0x00198d30
ACSSBADX_StartAfs 0x00198d48
ACSSBADX_StartMem 0x00198d60
ACSSBADX_StartMemIdx 0x00198d78
ACSSBADX_Stop 0x00198d90
ACSSBADX_Pause 0x00198da8
ACSSBADX_GetStatPause 0x00198dc0
ACSSBADX_GetStat 0x00198dd8
ACSSBADX_SetOutVol 0x00198e48
ACSSBADX_GetOutVol 0x00198e70
ACSSBADX_SetTrackVol 0x00198e88
ACSSBADX_GetTrackVol 0x00198eb8
ACSSBADX_SetLpFlg 0x00198ee8
ACSSBADX_GetHndl 0x00198f00
ACSSBAIX_CreateHndl 0x00198fb0
ACSSBAIX_DestroyHndl 0x00199048
ACSSBAIX_StartFname 0x00199080
ACSSBAIX_StartAfs 0x001990a0
ACSSBAIX_StartMem 0x001990b8
ACSSBAIX_StartMemIdx 0x001990d0
ACSSBAIX_Stop 0x001990f0
ACSSBAIX_Pause 0x00199108
ACSSBAIX_GetStatPause 0x00199120
ACSSBAIX_GetStat 0x00199138
ACSSBAIX_SetOutVol 0x00199150
ACSSBAIX_GetOutVol 0x001991b8
ACSSBAIX_SetTrackVol 0x001991e0
ACSSBAIX_GetTrackVol 0x00199208
ACSSBAIX_SetLpFlg 0x00199210
ACSSBAIX_GetHndl 0x00199228
ac3setsjifunc 0x0031b884
ac3termsupplyfunc 0x0031b888
ac3execfunc 0x0031b88c
ADX_DecodeInfoAiff 0x00199920
ADXB_ExecOneAiff16 0x00199b48
ADXB_ExecOneAiff8 0x00199ce0
ADX_DecodeInfoAu 0x0019a1f8
ADXB_ExecOneAu16 0x0019a408
ADXB_ExecOneAu8 0x0019a5a0
ADXB_ExecOneAuUlaw 0x0019a720
ADX_DecodeSte4AsMono 0x0019aae8
ADX_DecodeSte4AsSte 0x0019aeb0
adx_decode_output_mono_flag 0x0031c0f8
ahxbsr_init_cnt 0x0031baa0
ahxbsr_obj 0x0031bb30
ahxbsr_call_cnt 0x0031baa4
ahxbsr_maxi_val 0x0031baa8
ahxdcd_sfreq_tbl 0x0031be00
ahxdc_bitrate_tbl 0x0031be20
ahxdc_jsb_table 0x0031bf88
ahxdcd_init_cnt 0x0031bfb8
ahxdcd_hndl 0x0031bfe8
ahxdcd_tcnt 0x0031c028
ahxbsr_diff 0x0031c048
ahxbsr_tcnt 0x0031c040
ahxsbf_init_cnt 0x0031c050
ahxsbf_filter_flg 0x0031c054
ahxsbf_hndl 0x0031c058
ahxsbf_synthesis_window_table2 0x0031c09c
ahxsbf_synthesis_filter_table2 0x0031c098
pfn_ahxsbf_mult_win 0x0031c0a0
ahxsbf_tcnt 0x0031c0e0
ahxsbf_mult_win0 0x0019b390
ahxsbf_mult_win1 0x0019b580
ahxsbf_mult_win2 0x0019b770
ahxsbf_mult_win3 0x0019b960
ahxsbf_mult_win4 0x0019bb50
ahxsbf_mult_win5 0x0019bd40
ahxsbf_mult_win6 0x0019bf30
ahxsbf_mult_win7 0x0019c120
ahxsbf_mult_win8 0x0019c310
ahxsbf_mult_win9 0x0019c500
ahxsbf_mult_win10 0x0019c6f0
ahxsbf_mult_win11 0x0019c8e0
ahxsbf_mult_win12 0x0019cad0
ahxsbf_mult_win13 0x0019ccc0
ahxsbf_mult_win14 0x0019ceb0
ahxsbf_mult_win15 0x0019d0a0
init__13cActionButton 0x0019d290
move__13cActionButton 0x0019d300
checkPLStatus__13cActionButtonPQ213cActionButton8ACT_WORK 0x0019da18
disp__13cActionButtonPQ213cActionButton8ACT_WORK 0x0019d510
checkButton__13cActionButtonPQ213cActionButton8ACT_WORK 0x0019d788
pullWork__13cActionButton 0x0019dae8
_GLOBAL_$I$D__ps2_Bio4_Prog_act_btn.cppfxcaaa 0x0019dc50
_GLOBAL_$D$D__ps2_Bio4_Prog_act_btn.cppkUeaaa 0x0019dc70
ClearOTagR__FPUii 0x00221710
SceAtSetExecFlg__FUi 0x002662a0
actCheck__7cPlayer 0x00247a08
AddPrim__FPUiT0 0x002216a0
AreaViewCheck__FP13AREA_HIT_DATAP16tagGEOM_CONE_REV 0x0019dea8
AreaDataInit__FP13AREA_HIT_DATAP6tagVecffUc 0x0019e268
collision_point_cone_rev_play_face__FP13tagGEOM_POINTP16tagGEOM_CONE_REVfP6tagVecf 0x0021bdd0
At_em_sphere_rect_ck__FP6cModelT0 0x0019efe8
At_em_sphere_sphere_ck__FP6cModelT0 0x0019f610
ComnHitCheck__FP6tagVecT0P6cModelT0T0Ui 0x0019fbb8
getPos__10cAtariInfoPC6cModelR6tagVec 0x001a62c0
Get_ang_dir__Ff 0x001a1780
At_rect_rect_ck__FP6tagVecT0 0x001a1688
emLineCubeCrossCk__FP6tagVecT0PA3_fT0T0fff 0x001c00c0
emLineCapsuleCrossCk__FP6tagVecN40f 0x001bf938
At_surface_line_ck__FP6tagVecN40 0x001a01f0
At_surface_point_rel__FPC6tagVecN20 0x001a18a8
InterVectorXYZ__FP6tagVecPC6tagVecT1f 0x001a1820
At_poly_point_rel__FP6tagVecG6tagVecT1 0x001a02e0
At_box_sphere_ck__FP6tagVecT0f 0x001a03d0
Get_normal__FP6tagVecT0 0x001a0528
AtBoxCapsuleCk3__FP6tagVecN20f 0x001a05a0
AtSphereCapsuleCk__FP6tagVecfT0T0f 0x001a0798
At_poly_sphere_ck__FP4cSatPUsP6tagVecT2fUiUi 0x001a0fc0
At_poly_sphere_ck2__FP6tagVecT0UiT0T0fUiUi 0x001a1118
At_rect_point_ck__FP6tagVecT0 0x001a15c8
BoxWorldCalc__FP6tagVecN30 0x00277b80
SEck 0x0041b578
checkRect__7cSatMgrP6cModel 0x001a19f0
scrAtCheckSphere__7cSatMgrP6cModelP10cAtariInfoUi 0x001a1fd0
scrAtCheckSphereAir__7cSatMgrP6cModelP10cAtariInfoUi 0x001a2188
wallAdjust__7cSatMgrP6tagVecN21fUiUi 0x001a2308
at_pos_calc__FP6cModelR6tagVec 0x001a58d0
polySphereCk__7cSatMgrP6tagVecT1fUiT1Ui 0x001a3490
log__7cSatMgrPce 0x001a2740
lineOverlap__9cSatBlockRC6tagVecN21 0x001a27d8
hitCheckSphere__9cSatBlockR6tagVecT1f 0x001a28d8
__7cSatMgr 0x001a2f38
__t8cManager1Z4cSatUiUc 0x001a59d8
_vt$7cSatMgr 0x003b62e8
__7cEatMgr 0x001a2f78
_vt$7cEatMgr 0x003b62a0
initEffInfo__7cEatMgr 0x001a2fb0
log__7cEatMgrPce 0x001a3298
create__t8cManager1Z4cSat 0x001a5af0
hitCheck3__7cSatMgrRC6tagVecR6tagVecUiUi 0x001a3bd8
construct__7cSatMgrP4cSatUi 0x001a4520
_vt$4cSat 0x003b6378
__as__4cSatR8cSatFile 0x001a46a8
blockInit__4cSatP9cSatBlock 0x001a4778
getVertexPtr__8cSatFile 0x001a47f8
_vt$t8cManager1Z4cSat 0x003b6330
create__t8cManager1Z4cSatUi 0x001a5a00
__tf7cEatMgr 0x001a5da0
_$_7cEatMgr 0x001a5d70
memAlloc__7cSatMgrUi 0x001a5d00
memFree__7cSatMgrPv 0x001a5d30
memClear__7cSatMgrPvUi 0x001a5d50
__tf7cSatMgr 0x001a5c88
_$_7cSatMgr 0x001a5c58
log__t8cManager1Z4cSatPce 0x001a5b10
__tft8cManager1Z4cSat 0x001a5c18
_$_t8cManager1Z4cSat 0x001a5e48
destroy__t8cManager1Z4cSatP4cSat 0x001a5e78
__tf4cSat 0x001a5bc8
_$_4cSat 0x001a5ba0
__ti4cSat 0x0047cd60
__tit8cManager1Z4cSat 0x0047cd70
__ti7cSatMgr 0x0047cd78
__ti7cEatMgr 0x0047cd88
_GLOBAL_$I$D__ps2_Bio4_Prog_atari.cppmkbaaa 0x001a5fc0
_GLOBAL_$D$D__ps2_Bio4_Prog_atari.cppyucaaa 0x001a5fe0
getSpeedVector__10cAtariInfoP6cModelP6tagVecT2 0x001a6110
init0__10cAtariInfofffffffsUsUs 0x001a6030
_vt$22CameraAttachedToMotion 0x003b6620
_$_22CameraAttachedToMotion 0x001a63c0
_vt$7cCamera 0x003b6670
move__22CameraAttachedToMotion 0x001a6408
init__14FocusAnimationi 0x001a66c0
move__14FocusAnimationUi 0x001a6740
quit__14FocusAnimation 0x001a68d0
clear__14FocusAnimation 0x001a68f0
_vt$11CameraScope 0x003b65d0
_vt$7IdScope 0x003b65f0
init__7IdScopePv 0x001a7418
_$_11CameraScope 0x001a6bd0
quit__7IdScopePv 0x001a79f0
_vt$13IDApplication 0x003b6640
move__11CameraScope 0x001a6c80
move__7IdScopePv 0x001a7598
_vt$15CameraBinocular 0x003b6580
_vt$11IdBinocular 0x003b65a0
init__11IdBinocularPvUiUi 0x001a82f0
_$_15CameraBinocular 0x001a7c98
quit__11IdBinocularPv 0x001a8e60
move__15CameraBinocular 0x001a7d20
move__11IdBinocularPv 0x001a8588
_vt$16CameraPushObject 0x003b6560
_$_16CameraPushObject 0x001a8f60
move__16CameraPushObject 0x001a8fa8
_vt$12CameraLookAt 0x003b6540
_$_12CameraLookAt 0x001a95f0
move__12CameraLookAt 0x001a9638
_vt$16CameraLookDownEm 0x003b6520
_$_16CameraLookDownEm 0x001a97a0
move__16CameraLookDownEm 0x001a97e8
_vt$13CameraBattery 0x003b6500
move__13CameraBattery 0x001a98d8
_$_13CameraBattery 0x001a9870
reserve__Q24_STLt6vector2ZP6FILTERZt10cAllocator1ZP6FILTERUi 0x001a9948
__tf13CameraBattery 0x001a9f90
__tf16CameraLookDownEm 0x001a9f08
__tf12CameraLookAt 0x001a9e80
__tf16CameraPushObject 0x001a9df8
__tf15CameraBinocular 0x001a9d70
__tf11IdBinocular 0x001a9cf0
_$_11IdBinocular 0x001a9d60
init__13IDApplicationPv 0x001a9b50
__tf11CameraScope 0x001a9c68
__tf7IdScope 0x001a9c00
_$_7IdScope 0x001a9bf0
__tf22CameraAttachedToMotion 0x001a9b68
__tf13IDApplication 0x001a9ae0
_$_13IDApplication 0x001a9b20
move__13IDApplicationPv 0x001a9b58
quit__13IDApplicationPv 0x001a9b60
__tf7cCamera 0x001a9a58
_$_7cCamera 0x001a9ab0
__ti7cCamera 0x0047cd98
__ti13IDApplication 0x0047cda8
__ti22CameraAttachedToMotion 0x0047cdb0
__ti7IdScope 0x0047cdc0
__ti11CameraScope 0x0047cdd0
__ti11IdBinocular 0x0047cde0
__ti15CameraBinocular 0x0047cdf0
__ti16CameraPushObject 0x0047ce00
__ti12CameraLookAt 0x0047ce10
__ti16CameraLookDownEm 0x0047ce20
__ti13CameraBattery 0x0047ce30
__ti6CAMERA 0x0047ce40
__tf6CAMERA 0x001aa028
__dl__7cCameraPvUi 0x001aa018
__dl__13IDApplicationPvUi 0x001aa020
filter0a_mask_alpha 0x0032507f
use_filter0a 0x0032507c
filter0a_mask_flag 0x0032507d
filter0a_mask_id 0x0032507e
Filter01SetParam__FUcfiUc 0x0020f838
CameraSetOrientationZeroRoll__FP6CAMERA 0x001accf0
CameraRotAxisPosRad__FP6CAMERAP6tagVecT1f 0x001ad098
CameraTargetRot__FP6CAMERAUcf 0x001ad108
VecAngle__FRC6tagVecT0 0x0022af58
_vt$12CameraMotion 0x003b6770
_$_12CameraMotion 0x001aa1d8
move__12CameraMotion 0x001aa220
__tf12CameraMotion 0x001aa4e8
__ti12CameraMotion 0x0047ce48
HermiteInterpolation__FP12_HERMITE_SETPfPUsb 0x00232338
g_readyOfs 0x0031c280
g_transOfs 0x0031dc00
LRinfo__14CameraQuasiFPSPv 0x001aa570
LRcheck__14CameraQuasiFPS 0x001aa578
calcDepressionRatio__14CameraQuasiFPS 0x001aa580
calcBaseMatrix__14CameraQuasiFPSPA3_f 0x001aa778
checkFBLR__14CameraQuasiFPS 0x001aac68
checkCameraType__14CameraQuasiFPS 0x001aad08
calcOffset__14CameraQuasiFPSP11QFPS_OFFSET 0x001aaf28
hitCheck__14CameraQuasiFPSPA3_fP11QFPS_OFFSETP12CAMERA_POINT 0x001ab3d0
isKamae__7cPlayer 0x002477d0
getPitch__6cPlWep 0x0024d808
VecInternalDivisionAngle__FRC6tagVecfT0fR6tagVec 0x0022b1f8
CameraGetRoll__FP6CAMERA 0x001acfd8
CameraCamposRot__FP6CAMERAUcf 0x001ad198
CameraSetWithRoll__FP6CAMERAP6tagVecT1ff 0x001ad288
ProjType 0x0031e6b0
CameraSetProjection__FUi 0x001ad2f8
CameraGameInit__Fv 0x001ad390
CameraRoomInit__Fv 0x001ad410
CameraGetUpVec__FP6CAMERAP6tagVec 0x001ad620
QuakeMove__Fv 0x00261c80
set__8cMotBaseP6cModelUiR6tagVecT3Uc 0x001ad7e8
gameInit__7Cockpit 0x001adb10
roomInit__12ActionButton 0x001af010
roomInit__9LifeMeter 0x001add30
roomInit__10BulletInfo 0x001af3b8
roomInit__9CountDown 0x001afeb8
move__9LifeMeter 0x001ae090
move__10BulletInfo 0x001af468
move__12ActionButton 0x001af0b8
move__9CountDown 0x001aff78
disp__9LifeMeterb 0x001aef00
getLifeLevel__7cPlayer 0x00247b58
__8cCtrlMgr 0x001b0950
__t8cManager1Z5cCtrlUiUc 0x001b0ae0
_vt$8cCtrlMgr 0x003b6e00
construct__8cCtrlMgrP5cCtrlUi 0x001b0990
_vt$7cCtrl00 0x003b6dc8
_vt$7cCtrl01 0x003b6d90
_vt$7cCtrl10 0x003b6d58
_vt$5cCtrl 0x003b6e90
move__8cCtrlMgr 0x001b0a38
dieCheck__t8cManager1Z5cCtrl 0x001b0b08
move__5cCtrl 0x001b0ac0
_vt$t8cManager1Z5cCtrl 0x003b6e48
__tf7cCtrl10 0x001b0f90
_$_7cCtrl10 0x001b0f68
__tf7cCtrl01 0x001b0ee0
_$_7cCtrl01 0x001b0eb8
__tf7cCtrl00 0x001b0e30
_$_7cCtrl00 0x001b0e08
log__t8cManager1Z5cCtrlPce 0x001b0bb8
__tf8cCtrlMgr 0x001b0d20
_$_8cCtrlMgr 0x001b0cf0
memAlloc__8cCtrlMgrUi 0x001b0d98
memFree__8cCtrlMgrPv 0x001b0dc8
memClear__8cCtrlMgrPvUi 0x001b0de8
destroy__t8cManager1Z5cCtrlP5cCtrl 0x001b1048
__tft8cManager1Z5cCtrl 0x001b0cb0
_$_t8cManager1Z5cCtrl 0x001b1018
_$_5cCtrl 0x001b0c38
__tit8cManager1Z5cCtrl 0x0047ce58
__ti8cCtrlMgr 0x0047ce60
__ti7cCtrl00 0x0047ce70
__ti7cCtrl01 0x0047ce80
__ti7cCtrl10 0x0047ce90
_GLOBAL_$I$D__ps2_Bio4_Prog_ctrl.cppCzcaaa 0x001b1160
_GLOBAL_$D$D__ps2_Bio4_Prog_ctrl.cpp4Yeaaa 0x001b1180
checkCommand__9cDataUnit 0x001b1d98
getCommand__9cDataUnit 0x001b11e8
setCondition__9cDataUnit14DATA_CONDITION 0x001b11f0
getCondition__9cDataUnit 0x001b11f8
checkMallocRelease__9cDataUnit 0x001b1200
setMallocInfo__9cDataUnitbPv 0x001b1248
fixMramAddr__9cDataUnitPv 0x001b12c8
isUseOk__9cDataUnit 0x001b12d0
waitUseOk__9cDataUnit 0x001b1318
checkCondition__9cDataUnit 0x001b1e20
isLoadOk__9cDataUnit 0x001b13b8
waitLoadOk__9cDataUnit 0x001b1408
setLoadToMram__9cDataUnit 0x001b1480
checkLoadToMram__9cDataUnit 0x001b1a30
checkAramToMram__9cDataUnit 0x001b1b60
setLoadToAram__9cDataUnit 0x001b1730
getAramFree__9cDataCtrlUi 0x001b1ec8
checkLoadToAram__9cDataUnit 0x001b1ac8
checkMramToAram__9cDataUnit 0x001b1c00
setClear__9cDataUnit 0x001b1940
setDelete__9cDataUnit 0x001b19f8
checkAramToAram__9cDataUnit 0x001b1ca8
checkMramToMram__9cDataUnit 0x001b1d90
init__9cDataCtrl 0x001b20b8
initDataUnit__9cDataCtrl 0x001b20d8
getNewUnit__9cDataCtrl 0x001b2280
checkAramSort__9cDataCtrl 0x001b2328
check__9cDataCtrl 0x001b24d8
_GLOBAL_$I$D__ps2_Bio4_Prog_datactrl.cppfucaaa 0x001b25f0
_GLOBAL_$D$D__ps2_Bio4_Prog_datactrl.cppkOeaaa 0x001b2610
Mem_free_h__FPvUi 0x00229728
Aram 0x0041ef18
DmaTransReq__5cAramUiUiUiUiUc 0x001b5548
DmaCancel__5cArami 0x001b57e8
ReadNblk2Blk__4cDvdi 0x001b5b48
TransCheck__5cArami 0x001b57a0
__7cDmgMgr 0x001b2630
__t8cManager1Z4cDmgUiUc 0x001b2c30
_vt$7cDmgMgr 0x003b70d0
construct__7cDmgMgrP4cDmgQ27cDmgMgr2ID 0x001b2670
_vt$7cDmgCyl 0x003b7190
_vt$6cDmgP4 0x003b7160
construct__7cDmgMgrP4cDmgUi 0x001b26b0
move__7cDmgMgr 0x001b26d0
dieCheck__t8cManager1Z4cDmg 0x001b2c58
create__t8cManager1Z4cDmgUi 0x001b2d08
set__7cDmgMgr8DMG_TYPEUiP6tagVecf 0x001b2818
hitCheck__7cDmgCylP6tagVecT1 0x001b29c0
hitCheck__6cDmgP4P6tagVecT1 0x001b2a68
beginEvent__4cDmgUi 0x001b2b18
_vt$t8cManager1Z4cDmg 0x003b7118
log__t8cManager1Z4cDmgPce 0x001b2df8
__tf7cDmgMgr 0x001b30c0
_$_7cDmgMgr 0x001b3090
memAlloc__7cDmgMgrUi 0x001b3138
memFree__7cDmgMgrPv 0x001b3168
memClear__7cDmgMgrPvUi 0x001b3188
destroy__t8cManager1Z4cDmgP4cDmg 0x001b31d8
__tft8cManager1Z4cDmg 0x001b3050
_$_t8cManager1Z4cDmg 0x001b31a8
__tf6cDmgP4 0x001b2fc8
_$_6cDmgP4 0x001b2fa0
__tf7cDmgCyl 0x001b2f18
_$_7cDmgCyl 0x001b2ef0
_vt$4cDmg 0x003b71c0
__tf4cDmg 0x001b2ea0
_$_4cDmg 0x001b2e78
__ti4cDmg 0x0047cea0
__ti7cDmgCyl 0x0047ceb0
__ti6cDmgP4 0x0047cec0
__tit8cManager1Z4cDmg 0x0047ced0
__ti7cDmgMgr 0x0047ced8
_GLOBAL_$I$D__ps2_Bio4_Prog_dmg.cpprycaaa 0x001b32f0
_GLOBAL_$D$D__ps2_Bio4_Prog_dmg.cppYWeaaa 0x001b3310
HitCheckPoint4__FP6tagVecT0 0x00277468
DvdReqWork 0x0041c100
ReadReq__4cDvd 0x001b5d88
MemorySwap__FPvT0Ui 0x001b34a8
Read__9cDvdQueue 0x001b4618
trans2mram__9cDvdQueueUiUiUi 0x001b35e0
trans2aram__9cDvdQueueUiUiUi 0x001b3670
readInit__9cDvdQueue 0x001b3770
fileOpen__9cDvdQueue 0x001b4a88
fileGetLength__9cDvdQueue 0x001b4ad0
startAddrBak 0x00420100
readMain__9cDvdQueue 0x001b3be0
fileReadAsync__9cDvdQueuePvUiUi 0x001b4ad8
readCancelWait__9cDvdQueue 0x001b4538
readExit__9cDvdQueue 0x001b4558
fileClose__9cDvdQueue 0x001b4b30
Initialize__9cDvdQueue 0x001b4710
LinkQueue__9cDvdQueue 0x001b4970
PushQueue__9cDvdQueue 0x001b4a18
ErrMemFree__9cDvdQueue 0x001b4a30
TransRam__9cDvdQueueUiUiUiUiUi 0x001b4b68
pullAramQueue__5cAramRUi 0x001b5640
DmaTrans__5cAramP10cAramQueueUc 0x001b56e0
DmaCancelAll__5cAram 0x001b58c8
Init__4cDvd 0x001b5970
FileTblExistCheck__4cDvd 0x001b5c90
DvdReadProc__Fv 0x001b59c8
ReadProc__4cDvd 0x001b59e8
readProcMain__4cDvdP9cDvdQueue 0x001b5aa0
ErrCheck__4cDvdiUi 0x001b6720
getQueuePtr__4cDvdUc 0x001b66e0
blockRead__4cDvdP9cDvdQueue 0x001b5e00
pullReadQueue__4cDvd 0x001b6348
Watcher__4cDvd 0x001b5f60
ReadCancelAll__4cDvd 0x001b6228
readCheckMain__4cDvdiP12DVD_READINFO 0x001b6488
ReadCheck__4cDvdiP12DVD_READINFO 0x001b6468
GetDiscNo__4cDvd 0x001b74e0
RomFontSetting__Fv 0x001b74e8
OSAllocFromHeap 0x00254220
MemGetCurrentDbgHeap__Fv 0x002290b8
MemSetCurrentDbgHeap__FUi 0x00229048
OSGetTick 0x00253d88
ARQFlushQueue 0x002516b0
iTaskExit__Fv 0x002563d0
systemResetCheck__Fv 0x002287b8
iTaskKill__Fv 0x002563a8
iTaskExec__FPv 0x00256360
TaskScheduler__Fv 0x00255d68
PADControlMotor 0x00255ac8
PlayPause__7cSofdecb 0x00257420
GXSetCopyClear 0x00251be8
GXCopyDisp 0x00251be0
pCurrent_buff 0x00431a10
Render_before__Fv 0x00229948
PadRead__Fv 0x0023e650
Render_done__Fv 0x00229968
Render_swap__Fv 0x00229b20
GetSystemVcnt__Fv 0x002286b8
vsync_cnt 0x00325310
OSGetFontTexture 0x00254350
OSGetFontEncode 0x00254340
OSInitFont 0x00254348
EspInit__Fv 0x001b7598
g_pEspSys 0x004203a4
EspRoomInit__Fv 0x001b75c0
g_EffParentWorld 0x00420290
g_DmyEsp 0x00420140
pEffParentWorld 0x004203a0
EffSetFinalCol__FUcUcUcUc 0x001b8ad0
EspPullTexObj__FUi 0x001b78b8
GetTexObjFlag__10cEspSystemUi 0x001b8940
SetTexObjFlag__10cEspSystemUii 0x001b8978
EffAreaDataLoad__FUi 0x001b7b88
EspGetTexWk__FUci 0x001b7c50
EspTexSet__FUcUiP4cEsp 0x001b7c78
EspGetTexObj__FUcUi 0x001b7fe0
EspTexSetShimmer__FUcUiP4cEspPA3_iP6tagVeci 0x001b7db8
create_screen_tex_sci__FP4cEspP9TEXHeaderPA3_iP6tagVeci 0x001b9cc0
create_screen_tex__FP4cEspP9TEXHeaderPA3_iP6tagVec 0x001b8d60
EspGetTplAddr__FUcPUi 0x001b8020
EspGetAnmAddr__FUcPP4cAnm 0x001b8060
EspChkTexId__FUc 0x001b80a0
EspGetPathAddr__FUiUc 0x001b82b0
EspGetEfmAddr__FUcPUiT1 0x001b8670
EspGetEfmMotAddr__FUcUiPUi 0x001b86f8
EspPushCoreKind__FUc 0x001b8920
EspGenGetMoveLoop__Fv 0x001b89d8
EffIsSetFinalCol__Fv 0x001b8a80
EffGetFinalCol__FR8_GXColor 0x001b8a98
EffSetAreaState__FUii 0x001b8ba8
EffCallToolStateCallBack__Fv 0x001b8cb8
_vt$6cCoord 0x003b85f0
__tf6cCoord 0x001ba9b0
_$_6cCoord 0x001ba988
matUpdate__6cCoord 0x001baa28
__ti6cCoord 0x0047cee8
_GLOBAL_$I$D__ps2_Bio4_Prog_eff_sys.cppwPbaaa 0x001baa88
_GLOBAL_$D$D__ps2_Bio4_Prog_eff_sys.cppSudaaa 0x001baaa8
EspFuncTblInit__Fv 0x001e9c98
EffSetId__Fv 0x001eac20
EffCrearRoomSeFunc__Fv 0x001eb3a8
_esp_l_box 0x00422a10
EspEvModList 0x00423d20
BuildTex__6PS2TEXRP9TEXHeaderP3OTWUc 0x00250a80
_7PS2VIF1$gs_setting 0x0047cef4
EspGetScissorPos__FPA3_iP6tagVecii 0x001f5578
SstSet__FUiUs13ESP_CORE_KINDUcUci 0x001fb4d0
_6FILTER$mEnv 0x004247c8
GetTexRenderMgrAddr__FUi 0x002783b8
Calc_twh__FUs 0x0024f280
_6PS2TEX$tex_current 0x0047cef8
__4cEsp 0x001ef618
_$_4cEsp 0x001ef650
__6cEmMgr 0x001baac8
__t8cManager1Z3cEmUiUc 0x001bb678
_vt$6cEmMgr 0x003b86b0
log__6cEmMgrPce 0x001bab08
construct__6cEmMgrP3cEmUi 0x001bab40
_vt$6cEmObj 0x003b8658
arrayAlloc__6cEmMgrUi 0x001baf58
arrayAlloc__t8cManager1Z3cEmUi 0x001bb6e8
move__6cEmMgr 0x001baf90
dieCheck__t8cManager1Z3cEm 0x001bb770
getEmPtr__6cEmMgrUcP3cEm 0x001bb2a0
_vt$3cEm 0x003b8740
__8cDmgInfo 0x001bb558
initWork__3cEm 0x001bb540
move__3cEm 0x001bb538
_vt$t8cManager1Z3cEm 0x003b86f8
arrayFree__t8cManager1Z3cEm 0x001bb6a0
__tf6cEmObj 0x001bbb00
_$_6cEmObj 0x001bbab0
__tf6cEmMgr 0x001bb9c8
_$_6cEmMgr 0x001bb998
memAlloc__6cEmMgrUi 0x001bba40
memFree__6cEmMgrPv 0x001bba70
memClear__6cEmMgrPvUi 0x001bba90
log__t8cManager1Z3cEmPce 0x001bb820
__tft8cManager1Z3cEm 0x001bb958
_$_t8cManager1Z3cEm 0x001bbb88
destroy__t8cManager1Z3cEmP3cEm 0x001bbbb8
__tit8cManager1Z3cEm 0x0047cf00
__ti6cEmMgr 0x0047cf08
__ti6cEmObj 0x0047cf18
_GLOBAL_$I$D__ps2_Bio4_Prog_em.cppNrcaaa 0x001bbcd0
_GLOBAL_$D$D__ps2_Bio4_Prog_em.cppqJeaaa 0x001bbcf0
_vt$7cEmDoor 0x003ba190
_vt$6cEmBox 0x003b9d10
_vt$7cEmRack 0x003ba828
_vt$9cEmWindow 0x003bb238
_vt$8cEmTorch 0x003bafd8
_vt$9cEmBarrel 0x003b99c8
_vt$7cEmTree 0x003bb0d0
_vt$7cEmRock 0x003ba970
_vt$9cEmSwitch 0x003bacb0
_vt$7cEmItem 0x003ba340
_vt$6cEmHit 0x003ba278
_vt$9cEmBarred 0x003b9638
_vt$7cEmMine 0x003ba620
_vt$9cEmShield 0x003bab30
RouteCk__Fv 0x00264770
push__6cModel 0x0022dc00
em34ClothAt2_LongStride 0x0031eb10
Em34ClothReset__FP3cEm 0x001bbe10
em34ClothAt 0x0031ee40
em18ClothAt 0x0031f090
em37HairAt 0x0031f3c0
Em37ClothReset__FP3cEm 0x001bc198
em37CoatAt 0x0031f720
em33HairAt 0x0031fb50
em33HairAtSmall 0x0031fe80
em33HairAt2 0x00320330
em33HairAt2Small 0x00320540
Em33ClothReset__FP3cEm 0x001bc638
